set	band	rareflag	baseId	pos	rating	pac	sho	pas	dri	def	phy
totw	8	3	179899	LB	64	69	55	68	66	60	45
totw	8	3	212188	LM	64	74	68	48	64	35	56
totw	8	3	200974	ST	64	72	67	49	65	43	61
totw	8	3	162134	CM	64	62	67	66	63	55	50
totw	8	3	176253	CB	64	45	40	58	35	75	60
totw	8	3	186614	ST	64	72	66	37	58	40	70
totw	8	3	212807	ST	64	92	68	52	67	42	57
totw	8	3	208330	LM	64	68	62	65	72	32	34
totw	8	3	194412	CB	64	60	44	46	43	72	67
totw	8	3	2392	ST	64	54	66	56	57	63	77
totw	8	3	31834	ST	64	62	71	53	57	54	86
totw	8	3	207494	LW	64	72	65	67	68	41	60
totw	8	3	201049	CB	64	55	44	51	47	67	75
